Name,LevelRange,Zone,Family
Ashu Talif Crew (Red Mage),N/A,Dvucca Isle Staging Point,Fomor
Asphyxiated Amsel,36 - 43,Gusgen Mines,Ghost
Asphyxiated Amsel (Nyzul),N/A,Nyzul Isle,Ghost
Aspidochelone,85 - 88,Valley of Sorrows,Adamantoise
Asrai,35 - 35,Lufaise Meadows,Trap
Assailer Chariot,N/A,Abyssea-Grauberg,Chariots
Assault Bhoot,N/A,Al Zahbi,Ghost
Assault Draugar (BLM),N/A,Al Zahbi,Skeleton
Assault Draugar (DRG),N/A,Al Zahbi,Skeleton
Assault Draugar (DRK),N/A,Al Zahbi,Skeleton
Assault Draugar (THF),N/A,Al Zahbi,Skeleton
Astika,N/A,Beaucedine Glacier (S),Gargouille
Athamas,N/A,Abyssea-Misareaux,Spider
Atkorkamuy,N/A,Qufim Island,Sea Monk
Atlas Beetle,N/A,Ghoyu's Reverie (MMM),Beetle
Attack Ziz,N/A,Al Zahbi,Cockatrice
Audhumbla,N/A,Einherjar - Ortlinde's Chamber, 2 more areas,Buffalo
Audumbla,N/A,Abyssea-Uleguerand,Buffalo
Autarch,N/A,Upper Delkfutt's Tower,Doll
Avalerion,N/A,Abyssea-Misareaux,Colibri
Aw'euvhi,N/A,Al'Taieu,Euvhi
Awahondo,N/A,Abyssea-Uleguerand,Diremite
Awd Goggie,68 - 68,Crawlers' Nest,Crawler
Axesarion the Wanderer,69 - 70,Cape Teriggan,Shadow
Ayakashi,N/A,Waughroon Shrine,Avatar
Ayame,N/A,Stellar Fulcrum,Hume
Aynu-kaysey,N/A,Caedarva Mire,Qutrub
Ayravata,N/A,Abyssea-Vunkerl,Marid
Azdaja,N/A,Abyssea-Grauberg,Wyrm
Ba'Tho Mercifulheart,N/A,Beadeaux (S),Quadav
Baa Dava the Bibliophage,N/A,Dynamis - Buburimu,Dynamis - Yagudo
Baba Yaga,N/A,Abyssea-La Theine,Pixie
Babalu Aye,N/A,Ghoyu's Reverie (MMM),Diremite
Backoo,N/A,Buburimu Peninsula,Mandragora
Badshah,N/A,Batallia Downs,Tiger
Bahamut,N/A,Riverne - Site #B01,Avatar
Bakka,N/A,Abyssea-Konschtat,Imp
Bakru,N/A,West Sarutabaruta,Mandragora
Balam-Agab,N/A,Sauromugue Champaign,Coeurl
Balam-Quitz,N/A,Sauromugue Champaign (S),Lynx
Balaur,N/A,Abyssea-Konschtat,Wyvern
Ballistosporer,N/A,Pashhow Marshlands,Funguar
Balor,59 - 59,Sacrarium,Fomor
Balrahn,N/A,Nyzul Isle,Fomor
Balrahn (Einherjar),N/A,Einherjar - Helmwige's Chamber, 2 more areas,Soulflayer
Bandrix Rockjaw,N/A,Dynamis - Jeuno,Dynamis - Goblin
Baobhan Sith,77 - 81,Gustav Tunnel,Ghost
Barakbok,43 - 43,Davoi,Orc
Barbaric Weapon,N/A,Xarcabard,Evil Weapon
Barbastelle,N/A,King Ranperre's Tomb,Bats
Bardha,N/A,Apollyon - Northwest,Limbus - Ghost
Baron Vapula,68 - 68,Castle Zvahl Keep,Demon
Baronet Romwe,68 - 68,Castle Zvahl Keep,Demon
Barong,N/A,Dynamis - Buburimu,Dynamis - Dragon
Baronial Bat,82 - 82,Gustav Tunnel,Bats
Barri,N/A,Einherjar - Ortlinde's Chamber, 2 more areas,Demon
Bashe,N/A,Sauromugue Champaign,Lizard
Basilic,N/A,Dynamis - Buburimu,Dynamis - Dragon
Bastard Bomb,N/A,Ifrit's Cauldron,Bomb
Bastet,N/A,The Sanctuary of Zi'tah,Coeurl
Battering Bugard,N/A,Al Zahbi,Bugard
Battlechoir Gitchfotch,N/A,Dynamis - San d'Oria,Dynamis - Orc
Battleclad Chariot,N/A,Zhayolm Remnants,Salvage - Archaic Chariots
Battledressed Chariot,N/A,Nyzul Isle Staging Point,Chariots
Battlemite,N/A,Einherjar - Helmwige's Chamber, 2 more areas,Diremite
Battlerigged Chariot,N/A,Abyssea-Altepa,Chariots
Baumesel,N/A,Lufaise Meadows,Trap
Bayawak,N/A,Yuhtunga Jungle,Lizard
Be'Ebo Tortoisedriver,N/A,Dynamis - Bastok,Dynamis - Quadav
Be'Hya Hundredwall,N/A,Palborough Mines,Quadav
Be'Zhe Keeprazer,N/A,Dynamis - Beaucedine,Dynamis - Quadav
Bearclaw Leveret,N/A,Bearclaw Pinnacle,Rabbit
Bearclaw Rabbit,N/A,Bearclaw Pinnacle,Rabbit
Becut,N/A,Beaucedine Glacier (S),Djinn
Bedrock Barry,N/A,North Gustaberg,Worm
Beelzebub,N/A,Qu'Bia Arena,Bee
Beet Leafhopper,N/A,The Boyahda Tree,Fly
Behemoth,80 - 80,Behemoth's Dominion,Behemoth
Behemoth (Nyzul),N/A,Nyzul Isle,Behemoth
Belladonna,N/A,West Sarutabaruta (S),Rafflesia
Bendigeit Vran,14 - 14,Konschtat Highlands,Shadow
Bennu,N/A,Abyssea-Altepa,Greater Bird
Beorht,N/A,Batallia Downs, 5 more areas,Elemental
Berried Chigoe,N/A,Wajaom Woodlands, 1 more areas,Chigoe
Berry Syrup,N/A,Verdical Conflux 2,Clot
Berserkr,N/A,Einherjar - Ortlinde's Chamber, 2 more areas,Demon
Beryl-footed Molberry,58 - 60,Temple of Uggalepih,Tonberry
Bhoot Intruder,N/A,Al Zahbi,Ghost
Bhoot Invader,N/A,Al Zahbi,Ghost
Bhumi,N/A,Abyssea-Tahrongi,Avatar
Bhuu Wjato the Firepool,N/A,Dynamis - Beaucedine,Dynamis - Yagudo
Bi'Fho Jestergrin,60 - 60,Waughroon Shrine,Quadav
Bi'Gho Headtaker,25 - 25,Beadeaux,Quadav
Bi'Gho Headtaker,N/A,Rolanberry Fields (S), 6 more areas,Quadav
Biast,70 - 70,Xarcabard,Dragon
Bibiki Pugil (Fished),N/A,Bibiki Bay,Pugil
Big Bang,N/A,Vunkerl Inlet (S),Djinn
Big Bomb,N/A,Halvung,Bomb
Bigmouth Billy,9 - 10,East Ronfaure,Worm
Bilopdop,55 - 55,Davoi,Orc
Bisan,30 - 30,Horlais Peak,Beetle
Bisque-heeled Sunberry,72 - 74,Yhoator Jungle,Tonberry
Bistre-Hearted Malberry,N/A,Den of Rancor,Tonberry
Bitoso,N/A,Balga's Dais,Crawler
Black Coney,N/A,Uleguerand Range,Rabbit
Black Dragon,25 - 25,Balga's Dais,Dragon
Black Shuck,N/A,Lebros Cavern,Cerberus
Black Triple Stars,26 - 27,Rolanberry Fields,Triple Bats
Blackbeard,N/A,Ship from Mhaura to Selbina,Skeleton
Blackbone Frazdiz,N/A,Lufaise Meadows,Orc
Bladmall,N/A,Boneyard Gully,Uragnite
Blanga,N/A,Abyssea-Uleguerand,Gargouille
Blazing Eruca,N/A,Abyssea-Attohwa,Crawler (Eruca)
Blazox Boneybod,N/A,Dynamis - Jeuno,Dynamis - Goblin
Blest Bones,N/A,The Sanctuary of Zi'tah,Skeleton
Blifnix Oilycheeks,N/A,Beadeaux (S),Goblin
Blighting Brand,N/A,Sauromugue Champaign,Evil Weapon
Blind Moby,25 - 26,Gusgen Mines,Pugil
Blizzard Wyvern,N/A,Chamber of Oracles,Wyvern
Blobdingnag,N/A,North Gustaberg, 3 more areas,Slime
Bloodcrown Brradhod,N/A,La Vaule (S),Orc
Bloodeye Vileberry,N/A,Abyssea-Konschtat,Tonberry
Bloodguzzler,N/A,Abyssea-Konschtat,Leech
Bloodpool Vorax,24 - 25,Pashhow Marshlands,Leech
Bloodpool Vorax (Nyzul),N/A,Nyzul Isle,Leech
Bloodsucker,71 - 71,Bostaunieux Oubliette,Leech
Bloodsucker (Nyzul),N/A,Nyzul Isle,Leech
Bloodtear Baldurf,63 - 65,La Theine Plateau,Ram
Bloodtear Baldurf (Nyzul),N/A,Nyzul Isle,Ram
Bloodthirster Madkix,69 - 72,Kuftal Tunnel,Goblin
Bloodwing Deathrainer,N/A,Ghoyu's Reverie,Orc
Bloodwing Maimer,N/A,Ghoyu's Reverie,Orc
Bloody Bones,N/A,Arrapago Reef,Skeleton
Bloody Coffin,N/A,Misareaux Coast,Crab
Bloody Daggers,N/A,Periqia,Animated Weapon
Bloody Vrukwuk,14 - 14,Ghelsba Outpost,Orc
Blubbery Bulge,45 - 47,Davoi,Slime
Blue Bascinet,N/A,Valkurm Dunes,Crab
Bluestreak Gyugyuroon,82 - 82,Aydeewa Subterrane,Qiqirn
Bluethunder Kaqool Ja,N/A,Mamool Ja Staging Point,Mamool Ja
Blurry Eye,N/A,West Sarutabaruta (S),Ahriman
Bo'Dho Hundredfist,N/A,Rolanberry Fields (S), 8 more areas,Quadav
Bo'Gha Winterkill,N/A,Rolanberry Fields (S),Quadav
Bo'Who Warmonger,N/A,Pashhow Marshlands,Quadav
Bodach,60 - 75,Bostaunieux Oubliette,Skeleton
Boggelmann,N/A,Misareaux Coast,Bugard
Boll Weevil,N/A,Jugner Forest (S),Beetle
Bolster,N/A,East Sarutabaruta,Crawler
Bomb King,16 - 18,Outer Horutoto Ruins,Bomb
Bomb King (Nyzul),N/A,Nyzul Isle,Bomb
Bomb Prince,85 - 85,Ifrit's Cauldron,Bomb
Bomb Princess,85 - 85,Ifrit's Cauldron,Bomb
Bomb Queen,85 - 85,Ifrit's Cauldron,Bomb
Bombadeel,N/A,Abyssea-Konschtat,Goobbue
Bombast,N/A,Ordelle's Caves,Bomb
Bomblix Flamefinger,N/A,Abyssea-Grauberg,Goblin
Bombshells,N/A,Al Zahbi,Cluster
Bonnacon,69 - 69,Uleguerand Range,Buffalo
Bonnacon (Nyzul),N/A,Nyzul Isle,Buffalo
Bonze Marberry,67 - 67,Temple of Uggalepih,Tonberry
Boompadu,N/A,Alzadaal Undersea Ruins,Acrolith
Bootrix Jaggedelbow,N/A,Dynamis - Jeuno,Dynamis - Goblin
Bordox Kittyback,N/A,Dynamis - Beaucedine,Dynamis - Goblin
Boreal Coeurl,58 - 58,Xarcabard,Coeurl
Boreal Hound,58 - 58,Xarcabard,Hound
Boreal Tiger,58 - 58,Xarcabard,Tiger
Boroka,N/A,Riverne - Site #B01,Hippogryph
Brami,N/A,Einherjar - Ortlinde's Chamber, 2 more areas,Demon
Brazen Bones,N/A,Toraimarai Canal,Skeleton
Bres,N/A,Beadeaux (S),Fomor
Brewnix Bittypupils,N/A,Dynamis - Beaucedine,Dynamis - Goblin
Briareus,N/A,Abyssea-La Theine,Gigas
Brigandish Blade,N/A,Ve'Lugannon Palace,Evil Weapon
Bright-handed Kunberry,62 - 62,Yhoator Jungle,Tonberry
Brontobugard,N/A,Al Zahbi,Bugard
Brooder,N/A,Abyssea-La Theine,Thinkers
Brradhod's Donzel,N/A,La Vaule (S),Orc
Brradhod's Fletcher,N/A,La Vaule (S),Orc
Brulo,N/A,Abyssea-Altepa,Avatar
Brummbar,N/A,Meriphataud Mountains (S),Gnat
Brummer,N/A,Meriphataud Mountains (S),Gnat
Brunhilde,N/A,Einherjar - Odin's Chamber,Fomor
Bu'Ghi Howlblade,12 - 12,Palborough Mines,Quadav
Buarainech,N/A,Garlaige Citadel (S),Fomor
Bubbly Bernie,9 - 10,South Gustaberg,Crab
Buburimboo,30 - 31,Buburimu Peninsula,Pugil
Buburimboo (Nyzul),N/A,Nyzul Isle,Pugil
Buffrix Eargone,N/A,Dynamis - Jeuno,Dynamis - Goblin
Bugaboo,N/A,Monastic Cavern,Ghost
Bugallug,50 - 50,Oldton Movalpolos,Bugbear
Bugard-X,N/A,Einherjar - Rossweisse's Chamber, 2 more areas,Bugard
Bugbby,N/A,Mine Shaft #2716,Bugbear
Bugbear Matman,N/A,Newton Movalpolos,Bugbear
Bugbear Muscleman,N/A,Oldton Movalpolos,Bugbear
Bugbear Porterman,N/A,Oldton Movalpolos,Bugbear
Bugbear Strongman,55 - 55,Oldton Movalpolos,Bugbear
Bugboy,N/A,Mine Shaft #2716,Bugbear
Bugul Noz,N/A,Abyssea-Altepa,Mandragora
Bui,N/A,Einherjar - Ortlinde's Chamber, 2 more areas,Demon
Bukhis,N/A,Abyssea-Vunkerl,Taurus
Bukki,N/A,Arrapago Reef,Imp
Bull Bugard,N/A,Al Zahbi,Bugard
Bullheaded Grosvez,N/A,Carpenters' Landing,Orc
Bune,80 - 80,Gustav Tunnel,Wyvern
Burlibix Brawnback,N/A,Batallia Downs (S),Goblin
Burned Bergmann,36 - 38,Gusgen Mines,Ghost
Burned Bergmann (Nyzul),N/A,Nyzul Isle,Ghost
Burstrox Powderpate,N/A,Abyssea-Grauberg,Goblin
Buu Xolo the Bloodfaced,64 - 64,Balga's Dais,Yagudo
Byakko,85 - 90,Ru'Aun Gardens,Tiger
Byakko (Summoned),N/A,The Shrine of Ru'Avitau,Tiger
Caa Xaza the Madpiercer,N/A,Dynamis - Beaucedine,Dynamis - Yagudo
Cactrot Rapido,N/A,Eastern Altepa Desert,Sabotender
Cactuar Cantautor,48 - 53,Western Altepa Desert,Sabotender
Cactuar Cantautor (Nyzul),N/A,Nyzul Isle,Sabotender
Caedarva Toad,N/A,Caedarva Mire,Doomed
Cailleach Bheur,N/A,Ifrit's Cauldron,Skeleton
Cait Sith Ceithir,N/A,Ruhotz Silvermines,Cait Sith
Caithleann,N/A,Sacrarium,Fomor
Calcabrina,N/A,Beaucedine Glacier,Doll
Calchas,N/A,Western Altepa Desert,Scorpion
Caldera Crab,N/A,Verdical Conflux 1,Crab
Came-Cruse,N/A,Beaucedine Glacier (S),Corpselight
Canal Moocher,N/A,Toraimarai Canal,Leech
Cancer,65 - 65,Kuftal Tunnel,Crab
Cannered Noz,N/A,Abyssea-Tahrongi,Corpselight
Cap Chomper,N/A,Crawlers' Nest (S),Crawler
Capelthwaite,N/A,Qu'Bia Arena,Hound
Capricious Cassie,70 - 70,Fei'Yin,Morbol
Capricious Cassie (Nyzul),N/A,Nyzul Isle,Morbol
Capricornus,N/A,East Ronfaure, 3 more areas,Pugil
Carabosse,N/A,Abyssea-La Theine,Pixie
Caraway Custard,N/A,Nyzul Isle,Flan
Carbuncle Prime,N/A,Full Moon Fountain,Avatar
Cargo Crab Colin,40 - 40,Korroloka Tunnel,Crab
Cargo Crab Colin (Nyzul),N/A,Nyzul Isle,Crab
Carmine Dobsonfly,44 - 45,Riverne - Site #A01,Fly
Carmine Sentinel,N/A,Al Zahbi,Automaton
Carmine-tailed Janberry,72 - 74,Den of Rancor,Tonberry
Carnero,11 - 12,South Gustaberg,Sheep
Carnero (Nyzul),N/A,Nyzul Isle,Sheep
Carpophagous Puk,N/A,Mamook,Puk
Carrion Dragon,N/A,Ghelsba Outpost,Dragon
Carthi,65 - 65,Yuhtunga Jungle,Opo-opo
Celeste-eyed Tozberry,N/A,Den of Rancor,Tonberry
Celphie,N/A,Western Altepa Desert,Dhalmel
Cemetery Cherry,72 - 73,King Ranperre's Tomb,Treant
Centipedal Centruroides,N/A,Meriphataud Mountains (S),Scorpion
Centurio IV-VII,N/A,Quicksand Caves,Antica
Centurio V-III,N/A,Chamber of Oracles,Antica
Centurio X-I,62 - 64,Quicksand Caves,Antica
Centurio XI-I,60 - 60,Chamber of Oracles,Antica
Centurio XII-I,N/A,Eastern Altepa Desert,Antica
Cep-Kamuy,N/A,Abyssea-Misareaux,Orobon
Cerberus,85 - 85,Mount Zhayolm,Cerberus
Cerberus (Nyzul),N/A,Nyzul Isle,Cerberus
Cerebrator,38 - 38,Promyvion - Holla,Thinkers
Cernunnos,N/A,Jugner Forest,Treant
Cetic Parasite,N/A,Lufaise Meadows,Leech
Chaa Paqa the Profound,64 - 64,Balga's Dais,Yagudo
Chamrosh,N/A,Mamook,Colibri
Chandelier,63 - 63,Garlaige Citadel,Bomb
Chaneque,N/A,Batallia Downs (S),Lycopodium
Chaos Elemental,42 - 42,Xarcabard,Elemental
Chaos Wyvern,N/A,Chamber of Oracles,Wyvern
Chariotbuster Byakzak,N/A,Fort Ghelsba,Orc
Chary Apkallu,76 - 77,Mount Zhayolm,Apkallu
Charybdis,70 - 70,Sea Serpent Grotto,Sea Monk
Chasmic Hornet,N/A,Abyssea-La Theine,Bee
Cheese Hoarder Gigiroon,N/A,Alzadaal Undersea Ruins,Qiqirn
Chekochuk,N/A,Mine Shaft #2716,Moblin
Chelicerata,N/A,Wajaom Woodlands,Chigoe
Cherukiki,N/A,Sealion's Den,Tarutaru
Chesma,N/A,Konschtat Highlands, 2 more areas,Coeurl
Chhir Batti,N/A,Abyssea-Vunkerl,Djinn
Chichevache,N/A,Ghoyu's Reverie (MMM),Buffalo
Chickcharney,N/A,Abyssea-Altepa,Cockatrice
Chigre,N/A,Aydeewa Subterrane,Chigoe
Chillgaze Foddrud,N/A,Monastic Cavern,Orc
Chillwing Hwitti,N/A,Abyssea-Uleguerand,Imp
Chione,N/A,Abyssea-Uleguerand,Avatar
Chlevnik,N/A,Horlais Peak,Behemoth
Chloris,N/A,Abyssea-Tahrongi,Mandragora
